100,9/1/2024,,Direct Deposit,6180,,,,,,DEPOSIT,ZMEM960
101,9/12/2024,4814,Phone Bill,79.5,TMOBILE AUTO PAY,New York,NY,123 Main Street,10001,WITHDRAWAL,ZMEM960
102,9/8/2024,4816,Internet Services,82,AT&T UVERSE PAYMENT,Dallas,TX,456 Commerce Street,75201,WITHDRAWAL,ZMEM960
103,9/3/2024,4900,Water Bill,51,PBC WATER UTILI WATER BILL,West Palm Beach,FL,789 Aqua Avenue,33401,WITHDRAWAL,ZMEM960
104,9/5/2024,4900,Electric Bill,144,FPL DIRECT DEBIT ELEC PYMT,Miami,FL,321 Energy Lane,33101,WITHDRAWAL,ZMEM960
105,9/12/2024,6300,Health insurance,57,Aetna,Hartford,CT,101 Health Blvd,6101,WITHDRAWAL,ZMEM960
106,9/29/2024,6300,Car insurance,188,Geico,Chevy Chase,MD,202 Insurance Road,20815,WITHDRAWAL,ZMEM960
107,9/12/2024,6300,Dental & Vision,33,Aetna,Hartford,CT,101 Health Blvd,6101,WITHDRAWAL,ZMEM960
108,9/1/2024,7997,"Membership Clubs (Sports, Recreation, Athletic)",160,F45,Los Angeles,CA,123 Fitness Avenue,90001,WITHDRAWAL,ZMEM960
109,9/1/2024,6012,Mortgage,2700,ARVEST MORTGAGE ACHPAYMENT,Fayetteville,AR,400 Mortgage Road,72701,WITHDRAWAL,ZMEM960
110,9/2/2024,6513,HOA,300,THE FIELDS HOMEO Assn,Palm Beach,FL,200 Community Drive,33480,WITHDRAWAL,ZMEM960
111,9/1/2024,60112,Car Loans,500,HMF HMFUSA.com,Fountain Valley,CA,500 Car Loan Lane,92708,WITHDRAWAL,ZMEM960
112,9/11/2024,4899,Netflix,33,Netflix,Los Gatos,CA,100 Stream Road,95032,WITHDRAWAL,ZMEM960
113,9/14/2024,5815,Spotify ,18.5,Spotify,New York,NY,200 Music Lane,10010,WITHDRAWAL,ZMEM960
114,9/5/2024,5812,Eating Places and Restaurants (general restaurants).,32,TST* GRAIN AND BERRY,Lake Worth,FL,300 Berry Blvd,33467,WITHDRAWAL,ZMEM960
115,9/25/2024,5812,Eating Places and Restaurants (general restaurants).,100,J & P LATIN CUISINE,Greenacres,FL,400 Latin Cuisine Street,33467,WITHDRAWAL,ZMEM960
116,9/1/2024,7278,Groceries,50,WHOLEFDS WLL 10195,Wellington,FL,500 Organic Way,33414,WITHDRAWAL,ZMEM960
117,9/21/2024,7832,Motion Picture Theaters,30,CINEMARK 1048 RSTBAR,Boca Raton,FL,600 Movie Road,33431,WITHDRAWAL,ZMEM960
118,9/16/2024,6211,Security Brokers/Dealers,200,Stash Cash Mngt Stash,New York,NY,123 Wall Street,10005,WITHDRAWAL,ZMEM960
119,9/16/2024,5542,Automated Fuel Dispensers (for self-service gas stations).,38.57,WAWA 5330,Boynton Beach,FL,700 Gas Station Lane,33472,WITHDRAWAL,ZMEM960
120,9/5/2024,5411,Grocery Stores and Supermarkets,216.04,WHOLEFDS WLL 10195,Wellington,FL,500 Organic Way,33414,WITHDRAWAL,ZMEM960
121,9/10/2024,5411,Grocery Stores and Supermarkets,35.77,TARGET,Minneapolis,MN,100 Target Street,55403,WITHDRAWAL,ZMEM960
122,9/8/2024,5542,Automated Fuel Dispensers (for self-service gas stations).,42,WAWA 5330,Boynton Beach,FL,700 Gas Station Lane,33472,WITHDRAWAL,ZMEM960
123,9/24/2024,5411,Grocery Stores and Supermarkets,500,WHOLEFDS WLL 10195,Wellington,FL,500 Organic Way,33414,WITHDRAWAL,ZMEM960
124,9/26/2024,5542,Automated Fuel Dispensers (for self-service gas stations).,46.91,RACETRAC,Atlanta,GA,800 Fuel Ave,30301,WITHDRAWAL,ZMEM960
125,9/27/2024,5311,Department Stores,120,TJ MAXX,Framingham,MA,900 Apparel Ave,1701,WITHDRAWAL,ZMEM960
126,9/30/2024,6211,Security Brokers/Dealers,200,Stash Cash Mngt Stash,New York,NY,123 Wall Street,10005,WITHDRAWAL,ZMEM960
127,10/1/2024,,Direct Deposit,6180,,,,,,DEPOSIT,ZMEM960
128,10/12/2024,4814,Phone Bill,80,TMOBILE AUTO PAY,New York,NY,123 Main Street,10001,WITHDRAWAL,ZMEM960
129,10/8/2024,4816,Internet Services,83,AT&T UVERSE PAYMENT,Dallas,TX,456 Commerce Street,75201,WITHDRAWAL,ZMEM960
130,10/3/2024,4900,Water Bill,53,PBC WATER UTILI WATER BILL,West Palm Beach,FL,789 Aqua Avenue,33401,WITHDRAWAL,ZMEM960
131,10/5/2024,4900,Electric Bill,150,FPL DIRECT DEBIT ELEC PYMT,Miami,FL,321 Energy Lane,33101,WITHDRAWAL,ZMEM960
132,10/12/2024,6300,Health insurance,57,Aetna,Hartford,CT,101 Health Blvd,6101,WITHDRAWAL,ZMEM960
133,10/29/2024,6300,Car insurance,188,Geico,Chevy Chase,MD,202 Insurance Road,20815,WITHDRAWAL,ZMEM960
134,10/12/2024,6300,Dental & Vision,33,Aetna,Hartford,CT,101 Health Blvd,6101,WITHDRAWAL,ZMEM960
135,10/1/2024,7997,"Membership Clubs (Sports, Recreation, Athletic)",160,F45,Los Angeles,CA,123 Fitness Avenue,90001,WITHDRAWAL,ZMEM960
136,10/1/2024,6012,Mortgage,2700,ARVEST MORTGAGE ACHPAYMENT,Fayetteville,AR,400 Mortgage Road,72701,WITHDRAWAL,ZMEM960
137,10/2/2024,6513,HOA,300,THE FIELDS HOMEO Assn,Palm Beach,FL,200 Community Drive,33480,WITHDRAWAL,ZMEM960
138,10/1/2024,60112,Car Loans,500,HMF HMFUSA.com,Fountain Valley,CA,500 Car Loan Lane,92708,WITHDRAWAL,ZMEM960
139,10/11/2024,4899,Netflix,33,Netflix,Los Gatos,CA,100 Stream Road,95032,WITHDRAWAL,ZMEM960
140,10/14/2024,5815,Spotify ,18.5,Spotify,New York,NY,200 Music Lane,10010,WITHDRAWAL,ZMEM960
141,10/5/2024,5812,Eating Places and Restaurants (general restaurants).,43.45,TST* GRAIN AND BERRY,Lake Worth,FL,300 Berry Blvd,33467,WITHDRAWAL,ZMEM960
142,10/25/2024,5812,Eating Places and Restaurants (general restaurants).,55.29,J & P LATIN CUISINE,Greenacres,FL,400 Latin Cuisine Street,33467,WITHDRAWAL,ZMEM960
143,10/1/2024,7278,Groceries,20.9,WHOLEFDS WLL 10195,Wellington,FL,500 Organic Way,33414,WITHDRAWAL,ZMEM960
144,10/21/2024,7832,Motion Picture Theaters,17.56,CINEMARK 1048 RSTBAR,Boca Raton,FL,600 Movie Road,33431,WITHDRAWAL,ZMEM960
145,10/16/2024,6211,Security Brokers/Dealers,200,Stash Cash Mngt Stash,New York,NY,123 Wall Street,10005,WITHDRAWAL,ZMEM960
146,10/16/2024,5542,Automated Fuel Dispensers (for self-service gas stations).,38.57,WAWA 5330,Boynton Beach,FL,700 Gas Station Lane,33472,WITHDRAWAL,ZMEM960
147,10/5/2024,5411,Grocery Stores and Supermarkets,216.04,WHOLEFDS WLL 10195,Wellington,FL,500 Organic Way,33414,WITHDRAWAL,ZMEM960
148,10/10/2024,5411,Grocery Stores and Supermarkets,35.77,TARGET,Minneapolis,MN,100 Target Street,55403,WITHDRAWAL,ZMEM960
149,10/8/2024,5542,Automated Fuel Dispensers (for self-service gas stations).,31.82,WAWA 5330,Boynton Beach,FL,700 Gas Station Lane,33472,WITHDRAWAL,ZMEM960
150,10/24/2024,5411,Grocery Stores and Supermarkets,408.33,WHOLEFDS WLL 10195,Wellington,FL,500 Organic Way,33414,WITHDRAWAL,ZMEM960
151,10/26/2024,5542,Automated Fuel Dispensers (for self-service gas stations).,46.91,RACETRAC,Atlanta,GA,800 Fuel Ave,30301,WITHDRAWAL,ZMEM960
152,10/27/2024,5311,Department Stores,191.4,TJ MAXX,Framingham,MA,900 Apparel Ave,1701,WITHDRAWAL,ZMEM960
153,10/30/2024,6211,Security Brokers/Dealers,200,Stash Cash Mngt Stash,New York,NY,123 Wall Street,10005,WITHDRAWAL,ZMEM960
154,9/1/2024,,Direct Deposit,7200,BEST BUY,ALTAMONTE SPG,FL,597 W STATE ROAD 436,32714-4042,DEPOSIT,WHWH380
155,9/6/2024,5999,Miscellaneous and Specialty Retail Stores,7.48,AMAZON MKTPLACE PMTS,SEATTLE,WA,410 TERRY AVE N,98109,DEPOSIT,WHWH380
156,9/8/2024,5411,Grocery Stores and Supermarkets,4.98,WALMART.COM,BENTONVILLE,AR,702 SOUTH WEST 8TH ST,72712-6209,DEPOSIT,WHWH380
157,9/11/2024,5411,Grocery Stores and Supermarkets,14.19,WALMART.COM,BENTONVILLE,AR,702 SOUTH WEST 8TH ST,72712-6209,DEPOSIT,WHWH380
158,9/30/2024,,Direct Deposit,180.23,ASPCA PET INSURANCE ,AKRON,OH,1208 MASSILLON RD SUITE G 200,44306,DEPOSIT,WHWH380
159,9/30/2024,5964,Retail Purchases,84.68,PAYPAL *SMART SNAKE,LAKE MARY,FL,184 FRANKLIN RD,32746,DEPOSIT,WHWH380
160,10/1/2024,,Direct Deposit,7200,BEST BUY,ALTAMONTE SPG,FL,597 W STATE ROAD 436,32714-4042,DEPOSIT,WHWH380
161,10/13/2024,5999,Miscellaneous and Specialty Retail Stores,19.04,AMAZON MKTPLACE PMTS,SEATTLE,WA,410 TERRY AVE N,98109,DEPOSIT,WHWH380
162,10/26/2024,5411,Grocery Stores and Supermarkets,3.99,BJS.COM,WESTBOROUGH,MA,25 RESEARCH DR,1581,DEPOSIT,WHWH380
163,10/26/2024,5999,Miscellaneous and Specialty Retail Stores,7.44,AMAZON MKTPLACE PMTS,SEATTLE,WA,410 TERRY AVE N,98109,DEPOSIT,WHWH380
164,11/1/2024,,Direct Deposit,7200,BEST BUY,ALTAMONTE SPG,FL,597 W STATE ROAD 436,32714-4042,DEPOSIT,WHWH380
165,9/1/2024,5964,Retail Purchases,19,CIRCLE K,TEMPE,AZ,1130 WEST WARNER RD,85284,WITHDRAWAL,WHWH380
166,9/1/2024,6300,Health insurance,127.73,WWW.MARRISORTHO.COM,ORLANDO,FL,12780 WATERFORD LKS PKWY STE 130,32828,WITHDRAWAL,WHWH380
167,9/2/2024,5999,Miscellaneous and Specialty Retail Stores,180,ASPCA PET INSURANCE ,AKRON,OH,1208 MASSILLON RD SUITE G 200,44306,WITHDRAWAL,WHWH380
168,9/2/2024,6012,Mortgage,1515.15,GTE FINANCIAL,TAMPA,FL,711 E HENDERSON AVE,33602,WITHDRAWAL,WHWH380
169,9/2/2024,6012,Mortgage,180,HOA,KISSIMMEE,FL,1631 E VINE ST STE 300,34744,WITHDRAWAL,WHWH380
170,9/2/2024,6012,Mortgage,208.33,AAA INSURANCE,HEATHROW,FL,1000 AAA DR STE 28,32746,WITHDRAWAL,WHWH380
171,9/2/2024,6300,Health insurance,208.33,AAA INSURANCE,HEATHROW,FL,1003 AAA DR STE 28,32749,WITHDRAWAL,WHWH380
172,9/2/2024,5311,Department Stores,17.86,KOHLS.COM,MIDDLETOWN,OH,3500 SALZMAN RD,45044-9401,WITHDRAWAL,WHWH380
173,9/3/2024,4900,Water Bill,125.23,DUKE ENERGY,ST PETERSBURG,FL,PO BOX 14043,33733,WITHDRAWAL,WHWH380
174,9/3/2024,4784,Tolls,10,CFX - E-PASS A/R,ORLANDO,FL,ATTN FINANCE DEPARTMENT 4974 ORL TOWER ROAD,32807,WITHDRAWAL,WHWH380
175,9/3/2024,5542,Automated Fuel Dispensers (for self-service gas stations).,26.56,CIRCLE K BP,WARRENVLE,IL,28100 TORCH PKWY,60555-3938,WITHDRAWAL,WHWH380
176,9/3/2024,5411,Grocery Stores and Supermarkets,47.11,NEW GOLDEN SPARKLING,ORLANDO,FL,5600 WEST COLONIAL DR STE 306,32808-7655,WITHDRAWAL,WHWH380
177,9/3/2024,5411,Grocery Stores and Supermarkets,83.5,WALMART.COM,BENTONVILLE,AR,702 SOUTH WEST 8TH ST,72712-6209,WITHDRAWAL,WHWH380
178,9/5/2024,4784,Tolls,10,CFX - E-PASS A/R,ORLANDO,FL,ATTN FINANCE DEPARTMENT 4974 ORL TOWER ROAD,32807,WITHDRAWAL,WHWH380
179,9/5/2024,5814,Fast Food Restaurants (quick-service restaurants).,15.91,PIZZA HUT,ORLANDO,FL,3662 AVALON PARK EAST BLVD STE 102,32828,WITHDRAWAL,WHWH380
180,9/6/2024,5814,Fast Food Restaurants (quick-service restaurants).,20.18,CHIPOTLE ONLINE,DENVER,CO,1401 WYNKOOP ST 500,80202,WITHDRAWAL,WHWH380
181,9/6/2024,5411,Grocery Stores and Supermarkets,13.6,MEI'S SUPERMARKET,UNION PARK,FL,10681 EAST COLONIAL DR,32817,WITHDRAWAL,WHWH380
182,9/6/2024,5411,Grocery Stores and Supermarkets,19.15,SPROUTS FARMERS MARKET,ORLANDO,FL,12500 LK UNDERHILL RD,32828,WITHDRAWAL,WHWH380
183,9/7/2024,5411,Grocery Stores and Supermarkets,106.92,BJS.COM,WESTBOROUGH,MA,25 RESEARCH DR,1581,WITHDRAWAL,WHWH380
184,9/7/2024,5411,Grocery Stores and Supermarkets,62.89,MEI'S SUPERMARKET,ORLANDO,FL,10681 EAST COLONIAL DR,32817,WITHDRAWAL,WHWH380
185,9/7/2024,5411,Grocery Stores and Supermarkets,246.4,SAMSCLUB.COM,BENTONVILLE,AR,702 SW 8TH ST -,72716-6299,WITHDRAWAL,WHWH380
186,9/8/2024,7278,Groceries,28.76,BAKERY 1908,CHICAGO,IL,224 SOUTH MICHIGAN AVE SUITE 400,60604,WITHDRAWAL,WHWH380
187,9/8/2024,7278,Groceries,15.39,BANH MI BOY,ORLANDO,FL,1110 EAST COLONIAL DR,32803-4636,WITHDRAWAL,WHWH380
188,9/8/2024,4214,"Motor Freight Carriers, Trucking, Moving and Storage, Local Delivery",21.19,DOORDASH,SAN FRANCISCO,CA,303 2ND ST STE S800,94107,WITHDRAWAL,WHWH380
189,9/8/2024,7278,Groceries,17.03,KAI KAI,ORLANDO,FL,1110 EAST COLONIAL DR,32803,WITHDRAWAL,WHWH380
190,9/8/2024,5542,Automated Fuel Dispensers (for self-service gas stations).,38.29,WAWA FUEL/CONVENIENCE,TAMPA,FL,1650 NORTH AVALON PARK BLVD,34787,WITHDRAWAL,WHWH380
191,9/9/2024,4784,Tolls,10,CFX - E-PASS A/R,ORLANDO,FL,ATTN FINANCE DEPARTMENT 4974 ORL TOWER ROAD,32807,WITHDRAWAL,WHWH380
192,9/9/2024,4214,"Motor Freight Carriers, Trucking, Moving and Storage, Local Delivery",17.01,DOORDASH,SAN FRANCISCO,CA,303 2ND ST STE S800,94107,WITHDRAWAL,WHWH380
193,9/10/2024,6300,Health insurance,111,AAA LIFE INSURANCE,LIVONIA,MI,17900 NORTH LAUREL PARK DR,48152-3992,WITHDRAWAL,WHWH380
194,9/10/2024,4214,"Motor Freight Carriers, Trucking, Moving and Storage, Local Delivery",2,INSTACART,SAN FRANCISCO,CA,50 BEALE ST 6TH FLOOR,94105,WITHDRAWAL,WHWH380
